"code","label","rule","comment"
"persistent_identifier","Missing or weak persistent identifier","(no persistent identifier|persistent identifier|\bno doi\b|doi is absent|no dois?\b|without a doi|fragment anchor|fragment on the project|homepage(,| that| which| url)? .*identifier|identifier.*(homepage|fragment)|rrid[^.]*(resolves|identifies|identifier for|platform)|minted (doi|identifier)|locally minted|only identifier|no rrid)","unchanged in review round 1"
"license_use_terms","License or use terms unstated or conflated","(licen[cs]e|use terms|prohibited_uses|discouraged_uses|ip_restrictions|data use agreement|copyright|terms of use)","unchanged in review round 1"
"source_conflict","Unresolved source conflict or contradiction","(contradict|conflict(?!-of-interest)|disagree|discordant|unreconciled|unresolved|not reconciled|does not reconcile|reconciled|tension|incompatible|mutually|inconsistent(ly)? across|two (readings|accounts|sources|source tiers)|sources? (differ|give|report))","review round 1: 'conflict' no longer matches 'conflict-of-interest' (that phrase belongs to consent_ethics)"
"scope_drift","Scope drift (project or pipeline vs released data)","(project[- ]level|release[- ]level|this release|attributed to this release|actually distributed|as distributed|distributed artifacts|distributed (data|files|archives)|aspirational|future tense|planned arrangement|in process|does not correspond|does not describe the distributed|withheld|self-assessment|statement of intent|capabilit)","unchanged in review round 1"
"count_size","Count or size inconsistency","(\bcounts?\b|total_size_bytes|arithmetic|sum of|sums to|cohort size|magnitude|instance-level|no counts|\bscale\b|\d{1,3}(,\d{3}){2,}|\bbytes\b)","review round 1: removed the project-specific token 'admissions'; 'scale' and 'bytes' anchored as whole words"
"temporal_version","Temporal, version or change-log inconsistency","(temporal|\bdates?\b|timeframe|created_on|issued|non-monotonic|cadence|quarterly|semi-annual|end date|award period|errata|version_access|\bversion(ing| number| ordering| identity| tracking)?\b|change ?log|change description|release dates)","review round 1: 'version' anchored as a whole word (\bversion\b) so 'conversion' and 'diversity' no longer match"
"consent_ethics","Human-subjects, consent or ethics gap","(informed_consent|\bconsent\b|\birb\b|ethic|at_risk|vulnerable|minors|neonat|pediatric|assent|guardian|human_subject|human participant|conflict-of-interest)","review round 1: 'consent' anchored as a whole word"
"privacy_regulatory","De-identification, privacy or regulatory gap","(deidentif|de-identif|privacy|reidentif|re-identif|hipaa|regulatory|confidential|sensitive_elements|data_protection|dpia|compliance|\bphi\b|legal privilege|export control)","unchanged in review round 1"
"bias_quality","Bias, limitation or data-quality documentation gap","(\bbias|known_limitations|anomal|missing_data|missing-data|data quality|data-quality|batch effect|sampling|is_sample|demographic|representation|future_use_impacts|social impact)","review round 1: moved ahead of processing_provenance and variables_metadata so missing-data and anomaly issues that mention cleaning_strategies or keywords are coded here; 'bias' anchored at a word start"
"processing_provenance","Processing or software provenance gap","(software|used_software|preprocessing|pipeline|processing|imputation|cleaning|labeling|annotation|conversion|transform)","review round 1: rule text unchanged; now evaluated after bias_quality"
"format_access","Format or access detail gap","(download_url|access_urls|access (route|link|portal|url|instructions|procedure|is)|no access|distribution_format|media_type|encoding|\bformat\b|\bzip\b|container|\bmime\b|\burls?\b|\buris?\b|\bemail|dereference|uri scheme|url scheme)","review round 1: moved ahead of attribution so download/access issues that mention contact emails are coded here; bare 'access' narrowed to access-route phrases; 'format', 'mime' and 'scheme' anchored"
"attribution","Attribution, contact or funding gap","(affiliation|creators?\b|publisher|citation|funder|grant|award|accountable organi[sz]ation|institution|maintainer|committee_contact|contact person)","review round 1: bare 'contact' replaced by 'committee_contact' and 'contact person'; now evaluated after format_access; label widened to name contacts"
"variables_metadata","Variable-level or descriptive metadata gap","(variables|variable-level|data dictionary|column|keywords|ontology|curie|loinc|concept.?id|snomed|omop concept|labels?\b|is_tabular|subsets?\b|splits?\b|standards?\b|conforms_to)","review round 1: 'keywords' kept here (keyword thinness is descriptive metadata) but bias_quality now runs first, so keyword issues about demographic coverage go there; 'subsets' anchored"
"other","Other or uncategorized","","unchanged in review round 1"
