project,method,type,file,total_score,max_score,percentage,elements_passing,element_scores
AI,READI_claudecode,concatenated,data/d4d_concatenated/claudecode/AI_READI_d4d.yaml,34,50,68.0,8,"Dataset Discovery an:5/5,Dataset Access and R:5/5,Data Reuse and Inter:3/5,Ethical Use and Priv:1/5,Data Composition and:4/5,Data Provenance and :4/5,Scientific Motivatio:2/5,Technical Transparen:4/5,Dataset Evaluation a:3/5,Cross-Platform and C:3/5"
AI,READI_claudecode_agent,concatenated,data/d4d_concatenated/claudecode_agent/AI_READI_d4d.yaml,38,50,76.0,9,"Dataset Discovery an:5/5,Dataset Access and R:5/5,Data Reuse and Inter:3/5,Ethical Use and Priv:2/5,Data Composition and:4/5,Data Provenance and :4/5,Scientific Motivatio:5/5,Technical Transparen:4/5,Dataset Evaluation a:3/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,concatenated,data/d4d_concatenated/claudecode_assistant/AI_READI_d4d.yaml,39,50,78.0,9,"Dataset Discovery an:5/5,Dataset Access and R:5/5,Data Reuse and Inter:3/5,Ethical Use and Priv:5/5,Data Composition and:5/5,Data Provenance and :4/5,Scientific Motivatio:2/5,Technical Transparen:4/5,Dataset Evaluation a:3/5,Cross-Platform and C:3/5"
AI,READI_gpt5,concatenated,data/d4d_concatenated/gpt5/AI_READI_d4d.yaml,3,50,6.0,1,"Dataset Discovery an:3/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/e097449_full_row2_d4d.yaml,11,50,22.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:1/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row12_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_google_com_document-d_row11_d4d.yaml,4,50,8.0,1,"Dataset Discovery an:4/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/doi_row9_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_aireadi_org_docs-2_row8_d4d.yaml,10,50,20.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:1/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row13_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row16_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/doi_row2_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_aireadi_org_docs-2_row10_d4d.yaml,11,50,22.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:1/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/RePORT_RePORTER_AI_READI_d4d.yaml,19,50,38.0,2,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:1/5,Ethical Use and Priv:1/5,Data Composition and:4/5,Data Provenance and :0/5,Scientific Motivatio:2/5,Technical Transparen:2/5,Dataset Evaluation a:1/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row10_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_google_com_document-d_row13_d4d.yaml,4,50,8.0,1,"Dataset Discovery an:4/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/RePORT_RePORTER_AI-READI_d4d.yaml,13,50,26.0,2,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:4/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/zenodo_org_records-10642459_row11_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/RePORT_RePORTER_AI_READI_d4d.yaml,14,50,28.0,2,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:5/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row12_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/zenodo_org_records-10642459_row11_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/docs_google_com_document-d_row13_d4d.yaml,4,50,8.0,0,"Dataset Discovery an:2/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:1/5,Cross-Platform and C:0/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/doi_row2_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row13_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row16_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/docs_google_com_document-d_row11_d4d.yaml,4,50,8.0,0,"Dataset Discovery an:2/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:1/5,Cross-Platform and C:0/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/e097449.full_row2_d4d.yaml,16,50,32.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:2/5,Data Composition and:1/5,Data Provenance and :0/5,Scientific Motivatio:1/5,Technical Transparen:2/5,Dataset Evaluation a:2/5,Cross-Platform and C:2/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/docs_aireadi_org_docs-2_row8_d4d.yaml,11,50,22.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:1/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/RePORT ⟩ RePORTER - AI-READI_d4d.yaml,11,50,22.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:2/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row10_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/doi_row9_d4d.yaml,9,50,18.0,1,"Dataset Discovery an:2/5,Dataset Access and R:2/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :1/5,Scientific Motivatio:0/5,Technical Transparen:1/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
AI,READI_claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/docs_aireadi_org_docs-2_row10_d4d.yaml,14,50,28.0,2,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:1/5,Data Composition and:3/5,Data Provenance and :1/5,Scientific Motivatio:1/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/fairhub_row10_d4d.yaml,8,50,16.0,1,"Dataset Discovery an:5/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/docs_google_com_document-d_d4d.yaml,2,50,4.0,0,"Dataset Discovery an:2/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/doi_row2_d4d.yaml,7,50,14.0,1,"Dataset Discovery an:4/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/fairhub_d4d.yaml,2,50,4.0,0,"Dataset Discovery an:2/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/fairhub_row13_d4d.yaml,7,50,14.0,1,"Dataset Discovery an:4/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/doi_d4d.yaml,1,50,2.0,0,"Dataset Discovery an:1/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/docs_aireadi_org_docs-2_d4d.yaml,36,50,72.0,9,"Dataset Discovery an:5/5,Dataset Access and R:5/5,Data Reuse and Inter:3/5,Ethical Use and Priv:3/5,Data Composition and:4/5,Data Provenance and :4/5,Scientific Motivatio:2/5,Technical Transparen:4/5,Dataset Evaluation a:3/5,Cross-Platform and C:3/5"
AI,READI_gpt5,individual,data/d4d_individual/gpt5/AI_READI/doi_row9_d4d.yaml,8,50,16.0,2,"Dataset Discovery an:4/5,Dataset Access and R:1/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:3/5"
CHORUS,claudecode,concatenated,data/d4d_concatenated/claudecode/CHORUS_d4d.yaml,18,50,36.0,2,"Dataset Discovery an:5/5,Dataset Access and R:2/5,Data Reuse and Inter:1/5,Ethical Use and Priv:1/5,Data Composition and:3/5,Data Provenance and :0/5,Scientific Motivatio:2/5,Technical Transparen:2/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
CHORUS,claudecode_agent,concatenated,data/d4d_concatenated/claudecode_agent/CHORUS_d4d.yaml,35,50,70.0,8,"Dataset Discovery an:5/5,Dataset Access and R:5/5,Data Reuse and Inter:3/5,Ethical Use and Priv:2/5,Data Composition and:4/5,Data Provenance and :4/5,Scientific Motivatio:2/5,Technical Transparen:4/5,Dataset Evaluation a:3/5,Cross-Platform and C:3/5"
CHORUS,claudecode_assistant,concatenated,data/d4d_concatenated/claudecode_assistant/CHORUS_d4d.yaml,35,50,70.0,8,"Dataset Discovery an:5/5,Dataset Access and R:5/5,Data Reuse and Inter:3/5,Ethical Use and Priv:2/5,Data Composition and:4/5,Data Provenance and :4/5,Scientific Motivatio:2/5,Technical Transparen:4/5,Dataset Evaluation a:3/5,Cross-Platform and C:3/5"
CHORUS,gpt5,concatenated,data/d4d_concatenated/gpt5/CHORUS_d4d.yaml,5,50,10.0,1,"Dataset Discovery an:5/5,Dataset Access and R:0/5,Data Reuse and Inter:0/5,Ethical Use and Priv:0/5,Data Composition and:0/5,Data Provenance and :0/5,Scientific Motivatio:0/5,Technical Transparen:0/5,Dataset Evaluation a:0/5,Cross-Platform and C:0/5"
CHORUS,claudecode_agent,individual,data/d4d_individual/claudecode_agent/CHORUS/CHoRUS for Equitable AI.txt_d4d.yaml,18,50,36.0,2,"Dataset Discovery an:5/5,Dataset Access and R:2/5,Data Reuse and Inter:1/5,Ethical Use and Priv:1/5,Data Composition and:3/5,Data Provenance and :0/5,Scientific Motivatio:2/5,Technical Transparen:2/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
CHORUS,claudecode_agent,individual,data/d4d_individual/claudecode_agent/CHORUS/CHoRUS for Equitable AI - github.txt_d4d.yaml,18,50,36.0,2,"Dataset Discovery an:5/5,Dataset Access and R:2/5,Data Reuse and Inter:1/5,Ethical Use and Priv:1/5,Data Composition and:3/5,Data Provenance and :0/5,Scientific Motivatio:2/5,Technical Transparen:2/5,Dataset Evaluation a:0/5,Cross-Platform and C:2/5"
