job_id,rubric,project,cohort,generation_rep,rating,purpose,passed,failed,warnings,n_issues,n_weaknesses,n_correctness_validations
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,10,4,8,15,5,9
AI_READI_v7_rep1_r10_rating1,rubric10-semantic,AI_READI,v7,1,1,primary,20,2,9,10,6,13
AI_READI_v7_rep1_r20_rating1,rubric20-semantic,AI_READI,v7,1,1,primary,18,3,7,10,8,12
AI_READI_v7_rep2_r10_rating1,rubric10-semantic,AI_READI,v7,2,1,primary,28,2,8,9,6,10
AI_READI_v7_rep2_r20_rating1,rubric20-semantic,AI_READI,v7,2,1,primary,24,3,6,9,7,10
AI_READI_v7_rep3_r10_rating1,rubric10-semantic,AI_READI,v7,3,1,primary,21,2,8,10,7,10
AI_READI_v7_rep3_r20_rating1,rubric20-semantic,AI_READI,v7,3,1,primary,27,3,8,10,8,10
AI_READI_v8_rep1_r10_rating1,rubric10-semantic,AI_READI,v8,1,1,primary,18,2,6,10,6,8
AI_READI_v8_rep1_r20_rating1,rubric20-semantic,AI_READI,v8,1,1,primary,20,5,10,15,10,10
AI_READI_v8_rep2_r10_rating1,rubric10-semantic,AI_READI,v8,2,1,primary,18,2,4,8,6,9
AI_READI_v8_rep2_r20_rating1,rubric20-semantic,AI_READI,v8,2,1,primary,21,3,9,13,8,8
AI_READI_v8_rep3_r10_rating1,rubric10-semantic,AI_READI,v8,3,1,primary,20,3,8,10,6,9
AI_READI_v8_rep3_r20_rating1,rubric20-semantic,AI_READI,v8,3,1,primary,26,3,8,10,8,9
CHORUS_v7_rep1_r20_rating1,rubric20-semantic,CHORUS,v7,1,1,primary,15,5,6,12,11,7
CHORUS_v7_rep2_r10_rating1,rubric10-semantic,CHORUS,v7,2,1,primary,14,3,6,11,5,7
CHORUS_v7_rep2_r20_rating1,rubric20-semantic,CHORUS,v7,2,1,primary,12,6,5,10,8,8
CHORUS_v7_rep3_r10_rating1,rubric10-semantic,CHORUS,v7,3,1,primary,20,7,7,14,6,9
CHORUS_v7_rep3_r20_rating1,rubric20-semantic,CHORUS,v7,3,1,primary,20,6,7,15,10,10
CHORUS_v8_rep1_r10_rating1,rubric10-semantic,CHORUS,v8,1,1,primary,16,5,7,14,7,9
CHORUS_v8_rep1_r20_rating1,rubric20-semantic,CHORUS,v8,1,1,primary,16,7,9,16,10,10
CHORUS_v8_rep2_r10_rating1,rubric10-semantic,CHORUS,v8,2,1,primary,14,7,10,19,9,8
CHORUS_v8_rep2_r20_rating1,rubric20-semantic,CHORUS,v8,2,1,primary,16,6,8,15,8,9
CHORUS_v8_rep3_r10_rating1,rubric10-semantic,CHORUS,v8,3,1,primary,12,4,5,12,7,8
CHORUS_v8_rep3_r20_rating1,rubric20-semantic,CHORUS,v8,3,1,primary,20,5,7,16,8,9
CM4AI_v7_rep1_r10_rating1,rubric10-semantic,CM4AI,v7,1,1,primary,17,2,6,10,6,9
CM4AI_v7_rep1_r20_rating1,rubric20-semantic,CM4AI,v7,1,1,primary,16,3,5,9,7,10
CM4AI_v7_rep2_r10_rating1,rubric10-semantic,CM4AI,v7,2,1,primary,22,3,6,12,5,10
CM4AI_v7_rep2_r20_rating1,rubric20-semantic,CM4AI,v7,2,1,primary,21,2,5,11,9,10
CM4AI_v7_rep3_r10_rating1,rubric10-semantic,CM4AI,v7,3,1,primary,28,3,12,12,7,9
CM4AI_v7_rep3_r20_rating1,rubric20-semantic,CM4AI,v7,3,1,primary,22,2,8,12,8,10
CM4AI_v8_rep1_r10_rating1,rubric10-semantic,CM4AI,v8,1,1,primary,17,2,8,12,8,8
CM4AI_v8_rep1_r20_rating1,rubric20-semantic,CM4AI,v8,1,1,primary,18,3,6,12,9,9
CM4AI_v8_rep2_r10_rating1,rubric10-semantic,CM4AI,v8,2,1,primary,20,3,7,13,8,9
CM4AI_v8_rep2_r20_rating1,rubric20-semantic,CM4AI,v8,2,1,primary,18,3,7,13,9,10
CM4AI_v8_rep3_r10_rating1,rubric10-semantic,CM4AI,v8,3,1,primary,16,4,6,12,8,7
CM4AI_v8_rep3_r20_rating1,rubric20-semantic,CM4AI,v8,3,1,primary,17,4,6,13,8,10
VOICE_v7_rep1_r10_rating1,rubric10-semantic,VOICE,v7,1,1,primary,22,2,12,10,6,7
VOICE_v7_rep1_r20_rating1,rubric20-semantic,VOICE,v7,1,1,primary,21,2,5,12,7,8
VOICE_v7_rep2_r10_rating1,rubric10-semantic,VOICE,v7,2,1,primary,21,0,5,8,5,9
VOICE_v7_rep2_r20_rating1,rubric20-semantic,VOICE,v7,2,1,primary,23,2,5,8,8,8
VOICE_v7_rep3_r10_rating1,rubric10-semantic,VOICE,v7,3,1,primary,22,2,8,10,7,6
VOICE_v7_rep3_r20_rating1,rubric20-semantic,VOICE,v7,3,1,primary,20,2,4,10,7,8
VOICE_v8_rep1_r10_rating1,rubric10-semantic,VOICE,v8,1,1,primary,21,2,7,10,7,6
