attribute	description	range	used_in_classes	suggested_uri	confidence
access_url	URL or access point for the raw data.	uri	RawData	dcat:accessURL	medium
creators		Creator	DataSubset, Dataset	schema:creator	high
credit_roles	Contributor roles using the CRediT (Contributor Roles Taxonomy) for the principal investigator or creator team. Specifies the specific contributions made to this dataset (e.g., Conceptualization, Data Curation, Methodology). Note: roles are specified here rather than on Person directly, since the same person may have different roles across different datasets.	CRediTRoleEnum	Creator	schema:creator	high
distribution_dates		DistributionDate	DataSubset, Dataset	schema:date	high
distribution_formats		DistributionFormat	DataSubset, Dataset	dcat:distribution	medium
end_date	End date of data collection	date	CollectionTimeframe	schema:date	high
erratum_url	URL or access point for the erratum.	uri	Erratum	dcat:accessURL	medium
funders		FundingMechanism	DataSubset, Dataset	schema:funder	high
identifiers_removed	List of identifier types removed during de-identification.	string	Deidentification	schema:identifier	high
license_and_use_terms		LicenseAndUseTerms	DataSubset, Dataset	schema:license	high
limitation_type	"Category of limitation (e.g., scope, coverage, temporal, methodological).
"	LimitationTypeEnum	DatasetLimitation	schema:temporalCoverage	high
missing_value_code	"Code(s) used to represent missing values for this variable. Examples: ""NA"", ""-999"", ""null"", """". Multiple codes may be specified."	string	VariableMetadata	schema:variableMeasured	high
precision	The precision or number of decimal places for numeric variables.	integer	VariableMetadata	schema:variableMeasured	high
representative_verification	"Explanation of how representativeness was validated or verified.
"	string	SamplingStrategy	schema:date	high
start_date	Start date of data collection	date	CollectionTimeframe	schema:date	high
target_dataset	The dataset that this relationship points to. Can be specified by identifier, URL, or Dataset object.	string	DatasetRelationship	schema:identifier	high
tool_accuracy	"Known accuracy or performance metrics for the automated tools (if available). Include metric name and value (e.g., ""spaCy F1: 0.95"", ""GPT-4 Accuracy: 92%"").
"	string	MachineAnnotationTools	schema:name	high
tools	"List of automated annotation tools with their versions. Format each entry as ""ToolName version"" (e.g., ""spaCy 3.5.0"", ""NLTK 3.8"", ""GPT-4 turbo""). Use ""unknown"" for version if not available (e.g., ""Custom NER Model unknown"").
"	string	MachineAnnotationTools	schema:name	high
version_access		VersionAccess	DataSubset, Dataset	dcat:accessURL	medium
was_inferred_derived	Whether the data was inferred or derived from other data	boolean	InstanceAcquisition	prov:wasDerivedFrom	medium
was_validated_verified	Whether the data was validated or verified in any way	boolean	InstanceAcquisition	schema:date	high
acquisition_methods		InstanceAcquisition	DataSubset, Dataset		low
affected_subsets	"Specific subsets or features of the dataset affected by this bias.
"	string	DatasetBias		low
agreement_metric	"Type of agreement metric used (Cohen's kappa, Fleiss' kappa, Krippendorff's alpha, percentage agreement, etc.).
"	string	AnnotationAnalysis		low
annotations_per_item	Number of annotations collected per data item. Multiple annotations per item enable calculation of inter-annotator agreement.	integer	LabelingStrategy		low
annotator_demographics	Demographic information about annotators, if available and relevant (e.g., geographic location, language background, expertise level).	string	LabelingStrategy		low
anomalies		DataAnomaly	DataSubset, Dataset		low
archival	"Indication whether official archival versions of external resources are included.
"	boolean	ExternalResource		low
assent_procedures	"For research involving minors, what assent procedures were used? How was developmentally appropriate assent obtained?
"	string	VulnerablePopulations		low
