label,project,method,record,slot,severity,category,issue_excerpt
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,core,resources,high,inconsistent identifier/count,"The core record uses `resources` (range Dataset) to carry the nine per-datatype directory groupings, but the schema description for `resources` states 'For file collections, use the file_collections a"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,creators,high,inconsistent identifier/count,The first Creator object populates only `notes` and leaves every declared field of Creator empty. The single most important creator fact in the bundle — that the FAIRhub dataset_description names 'AI-
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,creators[].affiliations,medium,unsupported claim,"Affiliation values embed source commentary and identifiers inside the affiliation string, e.g. 'Washington University in St. Louis (ROR 01yc7t268)', 'University of California, San Diego (ROR 0168r3w48"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,funders[].grantor,medium,inconsistent identifier/count,"Grantor values embed ROR identifiers as parenthetical commentary: 'National Institutes of Health (ROR 01cwqze88)'. FundingMechanism declares `grantor`, `grants`, `notes`; the identifier belongs in not"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,license,medium,dataset/release/temporal scope error,"The `license` slot (range string, 'e.g. MIT, CC-BY-4.0') carries a name plus a parenthetical URL: 'AI-READI custom license v2.0 (https://doi.org/10.5281/zenodo.17555036)'. The bundle gives rightsName "
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,created_by,medium,unsupported claim,"`created_by` is populated with 'AI-READI Consortium'. The bundle supports this as the dataset creator, but `created_by` is described as the person or organization primarily responsible for creating th"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,both,prohibited_uses / license / license_and_use_terms,medium,unsupported claim,"Internal inconsistency the records acknowledge but do not resolve consistently. The dataset-level `license` slot asserts v2.0, while every prohibited_uses entry is transcribed verbatim from license v1"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,distribution_formats,medium,inconsistent identifier/count,"DistributionFormat declares `access_urls` and `notes`. Every one of the five objects puts the actual format identity (DICOM, CSV, JSON, Markdown, WFDB) into `notes` and repeats the identical access_ur"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,distribution_dates,medium,dataset/release/temporal scope error,"Three DistributionDate objects each carry a single-element `release_dates` list and put all substance in `notes`. This is acceptable per the class's thin declaration, but the v1.0.0 and v2.0.0 entries"
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,full,subsets,medium,unsupported claim,"The three DataSubset objects set `is_data_split: true` and put all split composition (counts by race/ethnicity, sex, diabetes status, mean age) into free-text `description`. DataSubset accepts the ful"
